,listing,price,brand,size
113,"New Patricia Nash Chauny Floral Tooled Leather Satchel Handbag Purse Blue Coral
          
      NWT",160.0,Patricia Nash,OS
114,DSW Large Felt Weekender Tote blue bag.,35.0,DSW,Large
115,INGE Christopher Special Occasion Bag,22.0,Inge Christopher,OS
116,Coach Blush Leather Crossbody Bag,179.0,Coach,OS
117,Kavu Crossbody Rope Purse Bag Blue Pink Floral Firework  Canvas Adjustable Strap,10.0,Kavu,OS
118,"Barnes & Noble To Kill A Mocking Bird Tote Bag NWT
          
      NWT",20.0,Barnes & Noble,OS
119,Tan Woven Purse,15.0,None,OS
120,"Anya Hindmarch Georgiana All Over Wink Sticker Clutch Bag, Metallic Silver",480.0,Anya Hindmarch,OS
121,Michael Kors Medium FALLON Messenger Bag Vanilla Acorn,50.0,MICHAEL Michael Kors,OS
122,Vintage YSL Blue Chevron Canvas & Leather Wallet (Flawed),110.0,Yves Saint Laurent,One Size
123,Chaco Radlands Hip Pack Geometric Multi Colored Fanny Pack Bag Pink Blue‎ Retro,18.0,Chaco,OS
124,Ruby & Cash Clear stadium  Crossbody Bag RoseGold,15.0,ruby & Cash,OS
125,"Pink Makeup Bag Cosmetic Case Chenille Letters
          
      NWT",30.0,,OS
126,Vera Bradley Womens Crossbody Laptop Bag Multi Floral Quilted Adjustable Strap,31.0,Vera Bradley,OS
127,Fossil Multicolor Striped Crossbody Bag,33.0,Fossil,OS
128,Desmo red leather shoulder bag with silver link hardware.,45.0,Desmo,OS
129,"Bebe 5-Piece Crossbody Gift Set – Chic, Stylish & Ready to Shine!
          
      NWT",90.0,bebe,OS
130,"MICHAEL KORS Charlotte Large Saffiano Leather Tote Bag in Pearl Grey
          
      NWT",250.0,Michael Kors,OS
131,Your Beautiful the way yoy are!,3.0,,OS
132,"Loungefly Disney Aladdin Genie Outfits Mini Backpack New
          
      NWT",108.0,Loungefly,OS
133,"Gucci Micro Guccissima – Soft Pink Leather BNWOT
          
      NWT",450.0,Gucci,OS
134,COPY - Gucci Bag,120.0,Gucci,OS
135,"Coach Corner Zip Wristlet With Shadow Plaid Print (Coach F23632) (NWT)
          
      NWT",100.0,Coach,OS
136,Tory Burch Black Studded Mini Fleming Quilted Chain Bag,225.0,Tory Burch,OS
137,"Crossbody Bag Womens Sisters in Christ Black White Patterned Adjustable Strap
          
      NWT",22.0,,OS
138,COACH 14425 LARGE BLACK PEBBLED LEATHER HANDBAG,85.0,Coach,OS
139,Madden Girl Lime Green Denim Mini Backpack,25.0,Madden Girl,OS
140,NEW Kate Spade Horizons Green Cactus Flowering Crossbody bag Purse w Bird Charm,350.0,kate spade,OS
141,Uber stylish black quilted bag,60.0,,OS
142,VINTAGE BRIGHTON BLACK NYLON‎ TOTE W/ORGANIZER CAREER FLAP SHOULDER DESIGNER,58.0,Brighton,OS
143,Guess Y2K vintage monogram hobo bag,400.0,Guess,OS
144,COACH Vintage Small Soho Tote Bag,128.0,Coach,OS
145,Madewell Mylie Studded Suede Hobo Shoulder Bag Juniper Berry Blue,175.0,Madewell,OS
146,Kate Spade Candied Cherry Red Love Shack Mini Heart Crossbody Purse Chain Strap,165.0,kate spade,6” x 5.5” x 2”
147,Coach Soho Hamilton Cream Pebbled Cowhide Leather Shoulder Bag SOHO Y2K Satchel,82.0,Coach,OS
148,Costume Evening Over the shoulder purse in black,7.0,None,OS
149,"Hand Beaded Embroidered Purse With Chain Strap Black Animal Jungle Print New
          
      NWT",30.0,,OS
150,"Think Royln Hot Pink Quilted Wristlet Cosmetic Bag NWOT
          
      NWT",20.0,THINK ROYLN,OS
151,La Mer Pearleacent Blue Cosmetic Bag - New!,10.0,La Mer,7x5
152,Michael Kors Whitney Leather Chain Wallet,118.0,Michael Kors,OS
153,DSW GRAY OVERNIGHT TOTE BAG,20.0,DSW,OS
154,"NWT new Anthropologie Maeve thick velvet woven clutch crossbody bag chain black
          
      NWT",80.0,Anthropologie,OS
155,Coach Vintage 1998 Abbie Zip Bag in Navy 9017,379.0,Coach,OS
156,Embroidered Clutch with Floral Design,13.0,None,OS
157,J Jill Brown leather bucket bag,38.0,J. Jill,OS
158,"Waterproof Lemon Bunny Bear Crossbody Shoulder Phone Purse
          
      NWT",34.0,Uma Hana,OS
159,Vintage Women's Wooden Cigar Box Purse With Detachable Chain And Handle,30.0,,OS
160,"RFID Blocking Card | Contactless Credit Card Protector | Anti-Skimming Insert
          
      NWT",5.0,,OS
161,Giani Bernini Brown Leather Shoulder Bag with Timeless Design,18.0,Giani Bernini,OS
162,"Honey, Jelly, Jam Canvas Tote Bag
          
      NWT",18.0,None,OS
163,"London Fog Eldie Pebble Backpack Mauve Faux Leather NWT
          
      NWT",45.0,London Fog,OS
164,Betsey Johnson NWOT Lilac Gray Vegan Leather Zip Around Wallet Wristlet,20.0,Betsey Johnson,OS
165,"Misc Lot Clear Out Coach Wristlet, Scarf, Necklaces and more",19.0,,OS
166,Liz Claiborne Genuine Leather Tote,91.0,,OS
167,Nine & Co Satchel with Brown/Tan Checkered Pattern and Brown Leather Trim/Handle,7.0,Nine & Co.,OS
168,"NWT- LUG- JIB AND COIN POUCH DUO - MATTE LUXE - OLIVE
          
      NWT",35.0,lug,OS
169,Dooney & Bourke crossbody bag,54.0,Dooney & Bourke,OS
170,Coach Disney Dog Pink Leather Shoulder Wallet Crossbody‎ Hayden JAPAN Dalmatian,285.0,Coach,OS
171,Fossil Green and Navy Satchel,62.0,Fossil,OS
172,Aldo Rose Gold Clutch Bag,16.0,Aldo,OS
173,"🔥Victoria secret key bag new
          
      NWT",22.0,Victoria's Secret,OS
174,Kate Spade New York Convertible Cameron Grand‎ Flora Crossbody Bag 249643,65.0,kate spade,OS
175,Gorgeous 60s Faux Snakeskin Purse‎,34.0,Ture vintage,OS
176,"Black Leather Kitty Cat Moon Luna Satchel Crossbody Bag Chain Shoulder Purse NWT
          
      NWT",85.0,Spuly,OS
177,Deep Midnight Blue Vintage Leather Coach Soho Bleeker Bag,260.0,Coach,OS
178,💎✨AUTHENTIC✨💎LV Deauville Hand bag,1012.0,Louis Vuitton,OS
179,NEW Black Checkered Cosmetic Bag,35.0,,OS
180,"Black and White Metal Studded Handbag
          
      NWT",59.0,,
181,Christian Dior Vintage Trotter Monogram Romantique Tote Bag Beige,850.0,Dior,OS
182,Tommy Hilfiger Red White Blue Logo Strap Tote Bag Shoulder Purse Large,27.0,Tommy Hilfiger,OS
183,Coach Jes Colorblock Retro Stripe Crossbody Pink Stripe C4079,145.0,Coach,OS
184,Burberry Nova Check Handbag,850.0,Burberry,(13”L X 10.5”W X 3.5”)
185,100% Straw Tote With Leaf Design and Pockets,40.0,,See images
186,Kate Spade Sew Be It Large Stevie Diaper Bag,91.0,kate spade,OS
187,🛍 Bundle & Save!,9999.0,My Brand,OS
188,Louis Vuitton Cluny Epi Leather Bag. Stunning Red Color,425.0,Louis Vuitton,OS
189,"Patricia Nash Women Turquoise Tooled Venezia Crossbody Bag Purse Turquoise New
          
      NWT",79.0,Patricia Nash,OS
190,Elaine Turner White Dust Bag Pink Drawstring 20x20 Preowned,15.0,Elaine Turner,OS
191,Bottega Veneta Long Zip Wallet,295.0,Bottega Veneta,OS
192,Michael Kors Snakeskin Print Wristlet – Gold Hardware,30.0,Michael Kors,OS
193,"NWT Kate Spade Bridget Crinkle Patent Large Tote w Dustbag in Lilac - MSRP $399
          
      NWT",200.0,kate spade,OS
194,VINCE CAMUTO vegan leather shoulder bag,39.0,Vince Camuto,OS
195,Forever 21 Mini Bag,18.0,,OS
196,Worthington Beige Brown Woven Purse Shoulder Bag Cottagecore Grandma,22.0,Worthington,OS
197,"Zadig & Voltaire Black Rock to Go Beaded Leather Bucket Bag NWT
          
      NWT",209.0,Zadig & Voltaire,OS
198,Calvin Klein Black tote bag office nylon computer lightweight travel work,85.0,Calvin Klein,OS
199,"Rainbow astronaut reading tote!
          
      NWT",20.0,,OS
200,Wallflower Mini Gray Faux leather Backpack With Adjustable Strap’s Front Pockets,14.0,Wallflower,OS
201,Vintage Gunne Sax Satin Mini Handbag‎,20.0,Gunne Sax,OS
202,Kelly & Katie Floral Crossbody Purse,38.0,Kelly & Katie,OS
203,Louis Vuitton Epi Leather Pocket Organizer - Vintage Borneo Green - RARE,123.0,Louis Vuitton,OS
204,"American Eagle Denim Tote Blue‎ Jean Double Strap Shoulder Bag 18 x 15""",20.0,American Eagle Outfitters,OS
205,Levenger Fine Leather Tools Credit Card & Checkbook Wallet Organizer – Brown,30.0,Levenger,OS
206,Anna Morellini Dania Shopper Black Cow Leather Crossbody Shoulder Bag Made Italy,98.0,Anna Morellini,OS
207,Drawstring Backpack,29.0,Gecko Brands,OS
208,"Betsey Johnson Beige Tote with Floral Detail
          
      NWT",60.0,Betsey Johnson,16w x 12h x 5
209,Kate Spade Leather Wristlet Black Bag,30.0,kate spade,OS
210,"Gold-Plated Floral Chain Strap Extender – Bag Charm with Three Flowers
          
      NWT",20.0,None,OS
211,Kate Spade Vibrant Orange and Cream Tote,100.0,kate spade,OS
212,Gucci Calfskin Interlocking G Top Handle Bag,1550.0,Gucci,OS
213,Canvas Tote Bag with Elephant Print,20.0,Sugarboo,OS
214,Genuine Leather Beautiful Design Women's Bag.,60.0,Vintage,OS
215,"Montana West 3PCS Purses for Women Tote Bag and Wallet Set Shoulder Satchel
          
      Boutique",90.0,,OS
216,"Bohemian Embroidered Sequins Shoulder Bag Large Tote Diaper Bag
          
      Boutique",55.0,Handmade,OS
217,Michael Kors Hamilton Traveler Large Black Saffiano Leather Satchel 30F4GHXS3L,152.0,Michael Kors,OS
218,💜 (KUR336) Kuromi Adorable 7-Piece Large Backpack Bundle!,30.0,Sanrio,OS
219,"REBECCA MINKOFF ‼️‼️Infinity Wristlet Wallet
          
      NWT",125.0,Rebecca Minkoff,OS
220,"Zambezi Joy Society Blue Canvas, Suede, & Leather Wristlet with Hummingbird‎
          
      NWT",30.0,Zambia Joy Society,OS
221,Rebecca Minkoff mini pebbled Leather Crossbody bag,69.0,Rebecca Minkoff,OS
222,Wild West Maruca Belt Bag Fanny Pack Elephant India‎ Travel Purse,45.0,Wild West,OS
223,"Jason Wu Quilted Crossbody
          
      NWT",80.0,Jason Wu,OS
224,"Aimee Kestenberg 100% Genuine Leather Wallet Navy Blue Studded NWT
          
      NWT",30.0,Aimee Kestenberg,OS
225,"NWT Coach Cherry Print Zip Around Leather Wallet Chalk Multi CDE92
          
      NWT",250.0,Coach,OS
226,Apt. 9 Like New Pink & Tan Striped Drawstring Bag,19.0,Apt. 9,OS
227,Elephant Pattern Women’s Cloth Bag,23.0,,OS
228,"Nike heritage Bag
          
      NWT",40.0,Nike,OS
229,"Michael Kors Mirella Medium EW Tote Bag Black
          
      NWT",174.0,Michael Kors,Medium
230,Handcrafted Bahamas Pink Floral Mini Bag,21.0,,OS
231,Michael Kors Bags | MK Weston Crossbody Satchel purse - Black,75.0,Michael Kors,OS
232,White spring bag,35.0,,OS
233,Kate Spade Pink Scalloped Edge Satchel Gold Inside Great Condition Summer Pastel,61.0,Kate Spade,OS
234,"Disney Loungefly Chip & Dale Cherry On Top Ice‎ Cream Sweet Treats Wallet
          
      NWT",49.0,Loungefly,OS
235,"2.25” COACH Leather Fob Bag Charm Keychain
Hang Tag",15.0,Coach,OS
236,"Burberry Soft Pink Tote
          
      NWT",35.0,Burberry,OS
237,Kate Spade New York Oakwood Street Pebble Leather Kinsley Wallet Plumberry EUC,65.0,kate spade,OS
238,"Trader Joes Nevada Reusable Shopping Bag Tote 6 Gallon NWT
          
      NWT",12.0,Trader Joe'S,OS
239,"FurArt Credit Card Wallet, Zipper Card Cases Holder RFID Blocking",6.0,Furart,OS
